t,ax,ay,az,gx,gy,gz,mag_valid,mx,my,mz,
11535,791,6224,15535,-430,-7923,-191,1,18,1584,290,
11555,805,5599,15982,-135,-8170,-290,1,9,1587,281,
11576,759,5184,15765,70,-7756,-235,1,20,1592,288,
11596,618,5033,15375,46,-6746,-106,1,18,1588,286,
11616,474,4939,15210,-169,-5308,-36,1,25,1581,283,
11637,246,4899,15281,-457,-3599,-19,1,16,1578,286,
11657,-2,4833,15386,-649,-2227,7,1,16,1576,288,
11677,-84,4696,15397,-769,-1411,173,1,17,1587,287,
11698,-207,4618,15265,-869,-1202,530,1,13,1589,287,
11718,-125,4711,15059,-954,-1336,882,1,22,1582,286,
11738,-221,4866,14929,-1091,-1580,1073,1,9,1577,287,
11758,-398,4976,15068,-1021,-1742,1056,1,13,1585,279,
11779,-517,5013,15242,-794,-1936,922,1,19,1579,289,
11799,-460,4876,15391,-634,-2292,798,1,20,1582,282,
11820,-381,4607,15578,-535,-2709,729,1,24,1582,286,
11840,-429,4402,15533,-482,-3227,633,1,21,1577,285,
11860,-632,4411,15248,-517,-3822,440,1,12,1576,282,
11881,-755,4214,15294,-488,-4215,130,1,21,1577,285,
11901,-604,3670,15486,-289,-4241,-58,1,23,1577,291,
11921,-325,3178,15501,-169,-3967,-83,1,18,1582,284,
11942,-122,2888,15530,-148,-3443,17,1,18,1578,284,
11962,-37,2783,15617,-160,-2766,122,1,20,1568,280,
11982,69,2719,15710,-137,-2181,230,1,11,1573,289,
12002,105,2569,15920,-120,-1870,342,1,21,1573,287,
12023,56,2389,15985,-102,-2033,537,1,21,1577,289,
12043,97,2399,15878,-264,-2754,759,1,25,1573,283,
12064,56,2487,15700,-589,-3580,908,1,21,1571,291,
12084,-1,2504,15648,-894,-4181,938,1,23,1575,289,
12104,-36,2371,15840,-1120,-4327,826,1,14,1570,292,
12125,-147,2060,15937,-1196,-4115,687,1,21,1575,285,
12145,-352,1932,15935,-1162,-3824,469,1,18,1570,288,
12165,-633,2171,16008,-1046,-3496,-10,1,21,1571,293,
12186,-769,2210,16101,-846,-3102,-563,1,23,1567,299,
12206,-627,1818,16122,-836,-2657,-961,1,19,1569,291,
12226,-523,1257,16275,-905,-2207,-1079,1,14,1562,288,
12247,-559,996,16453,-818,-1824,-1130,1,21,1567,291,
12267,-653,820,16486,-540,-1740,-1088,1,22,1566,290,
12288,-721,729,16375,-255,-2301,-919,1,21,1561,295,
12308,-853,849,16330,-53,-3399,-776,1,28,1566,298,
12328,-950,945,16383,275,-4522,-683,1,16,1562,296,
12349,-820,855,16422,555,-4959,-587,1,11,1561,299,
12369,-721,697,16393,597,-4375,-500,1,17,1569,295,
12389,-613,483,16322,498,-2808,-546,1,12,1564,298,
12409,-539,331,16224,314,-506,-613,1,20,1570,294,
12430,-561,286,16184,20,1582,-681,1,17,1565,287,
12450,-581,393,16159,-245,2973,-748,1,21,1565,287,
12470,-642,624,16184,-356,3325,-742,1,12,1566,294,
12491,-681,747,16319,-221,2583,-622,1,20,1572,306,
12511,-653,728,16444,110,1344,-407,1,16,1572,288,
12532,-538,780,16418,569,136,-175,1,20,1576,292,
12552,-474,887,16275,809,-826,-43,1,19,1563,299,
12572,-429,817,16209,803,-1315,50,1,22,1564,292,
12593,-353,692,16318,691,-1365,135,1,18,1566,286,
12613,-212,622,16361,734,-1072,135,1,13,1565,295,
12633,-205,729,16273,792,-900,210,1,17,1571,293,
12654,-161,767,16267,629,-1099,373,1,14,1570,296,
12674,19,588,16339,354,-1554,447,1,15,1567,293,
12694,107,395,16397,52,-2164,436,1,24,1564,298,
12715,94,162,16393,-317,-2739,363,1,17,1569,299,
12735,56,-59,16309,-575,-3050,280,1,23,1559,297,
12755,11,-146,16219,-701,-3190,336,1,10,1558,296,
12776,-55,-206,16218,-764,-3255,419,1,18,1564,304,
12796,-95,-490,16330,-832,-3138,259,1,22,1560,294,
12816,-86,-742,16306,-893,-2698,3,1,19,1559,295,
12837,-152,-766,16301,-1065,-2105,-254,1,12,1556,292,
12857,-218,-667,16473,-1527,-1581,-449,1,23,1555,293,
12878,-438,-648,16763,-2132,-1243,-484,1,18,1554,298,
12898,-609,-732,16952,-2719,-1058,-462,1,27,1555,293,
12918,-690,-827,16823,-3035,-1091,-444,1,20,1554,298,
12939,-853,-881,16576,-3108,-1625,-442,1,20,1560,284,
12959,-1036,-1290,15968,-2589,-2125,-458,1,16,1554,292,
12979,-1198,-1431,15807,-1847,-1337,-539,1,18,1558,288,
13000,-1256,-1532,15821,-1792,527,-847,1,23,1559,299,
13020,-1262,-642,17066,-2583,2168,-832,1,30,1556,292,
13041,-1673,-310,17178,-3789,557,-438,1,23,1571,295,
13061,-1414,-1022,16530,-2911,-2067,-183,1,20,1560,288,
13081,-1624,-1509,15960,-1890,-4712,-412,1,21,1557,295,
13102,-1944,-1744,15690,-988,-6089,-591,1,33,1559,291,
13122,-2100,-1861,15696,-667,-5692,-698,1,24,1556,294,
13142,-2119,-1926,15773,-870,-4119,-669,1,17,1553,289,
13162,-2059,-2107,15632,-1113,-2348,-624,1,21,1559,287,
13183,-2028,-2191,15637,-1154,-1442,-625,1,28,1556,284,
13203,-2145,-2300,15644,-676,-1456,-589,1,18,1560,280,
13224,-2229,-2268,15631,-55,-2244,-430,1,15,1557,283,
13244,-2031,-2172,15674,607,-3103,-223,1,22,1558,296,
13264,-1576,-2298,15802,1180,-3594,-173,1,26,1554,290,
13285,-1406,-2383,15787,1541,-3779,-274,1,21,1555,291,
13305,-1673,-2621,15697,1694,-3738,-394,1,16,1550,298,
13326,-1856,-2950,15765,1762,-3160,-305,1,10,1554,290,
13346,-1707,-3140,15873,1752,-1966,-173,1,19,1555,285,
13366,-1573,-2950,16016,1532,-934,-21,1,30,1562,296,
13386,-1668,-2765,16071,1087,-589,199,1,20,1552,286,
13407,-1757,-2785,16058,638,-959,510,1,19,1553,297,
13427,-1720,-2905,16102,300,-1575,875,1,16,1550,292,
