t,ax,ay,az,gx,gy,gz,mag_valid,mx,my,mz,
10999,-2178,126,14873,-4501,-458,3837,1,-26,1468,268,
11020,-2498,191,15102,-5469,446,3988,1,-25,1469,277,
11040,-2893,146,15163,-6157,1756,3969,1,-27,1461,271,
11060,-3197,327,15440,-6457,2863,3971,1,-21,1467,271,
11080,-3627,582,15960,-6202,3768,3974,1,-29,1471,277,
11101,-4014,985,16337,-5216,4217,3857,1,-27,1463,275,
11121,-4261,1349,16615,-3582,3549,3633,1,-25,1471,271,
11142,-4544,1628,16782,-1596,2465,3089,1,-31,1461,275,
11162,-4487,1704,16878,490,1300,2074,1,-31,1465,279,
11182,-4241,1526,17025,2258,121,1059,1,-27,1467,275,
11203,-3910,1234,16981,3469,-932,325,1,-33,1471,275,
11223,-3779,835,16847,3917,-1852,-14,1,-30,1470,278,
11244,-3888,273,16548,4144,-2001,420,1,-30,1470,274,
11264,-3817,43,16287,3969,-1834,1545,1,-38,1464,264,
11284,-3769,31,15989,3211,-1498,2775,1,-30,1470,272,
11305,-3654,137,15791,2146,-1029,3804,1,-37,1463,275,
11325,-3521,305,15787,1069,-753,4633,1,-38,1470,280,
11345,-3497,452,15876,402,-680,5006,1,-38,1468,276,
11365,-3441,587,16000,257,-664,4976,1,-41,1463,271,
11386,-3398,658,16069,510,-686,4684,1,-41,1473,269,
11406,-3300,628,16106,929,-854,4390,1,-39,1461,281,
11427,-3232,524,16066,1323,-1042,4279,1,-47,1459,277,
11447,-3047,345,15995,1789,-1227,4377,1,-46,1462,274,
11467,-2921,174,15902,2262,-1162,4540,1,-49,1463,275,
11488,-2781,26,15750,2588,-986,4656,1,-59,1465,269,
11508,-2611,-102,15625,2691,-832,4760,1,-52,1462,266,
11528,-2471,-254,15520,2620,-579,4757,1,-45,1467,269,
11549,-2297,-409,15518,2381,-263,4733,1,-50,1464,278,
11569,-2164,-455,15531,1805,129,4784,1,-56,1460,276,
11589,-2050,-439,15444,806,298,4979,1,-56,1454,270,
11610,-2028,-483,15476,-239,589,5163,1,-63,1455,283,
11630,-2089,-430,15578,-1054,1192,5138,1,-61,1465,271,
11651,-2127,-299,15694,-1510,1561,4996,1,-61,1465,277,
11671,-2173,-213,15854,-1723,1670,4817,1,-53,1469,273,
11691,-2239,-93,16054,-1749,1673,4646,1,-60,1474,270,
11712,-2437,38,16213,-1439,1564,4462,1,-53,1467,283,
11732,-2594,92,16250,-829,1431,4226,1,-56,1472,284,
11752,-2650,103,16302,-103,1356,4089,1,-56,1470,276,
11772,-2696,172,16448,571,1287,4218,1,-59,1459,273,
11793,-2761,365,16474,1055,945,4526,1,-67,1469,269,
11813,-2701,405,16451,1292,480,4869,1,-62,1474,284,
11834,-2546,291,16221,1294,41,5246,1,-69,1473,281,
11854,-2448,186,16066,1097,-62,5542,1,-72,1466,276,
11874,-2413,0,15942,875,33,5863,1,-75,1475,283,
11895,-2254,-44,15920,613,211,6156,1,-84,1480,286,
11915,-2168,81,15929,299,318,6476,1,-78,1474,292,
11935,-2227,320,15875,56,370,6413,1,-81,1481,285,
11956,-2195,541,15791,-31,404,5813,1,-82,1476,282,
11976,-2193,653,15769,20,451,4920,1,-81,1483,281,
11997,-2207,681,15809,95,635,3864,1,-89,1475,277,
12017,-2180,617,15937,179,658,2877,1,-85,1477,279,
12037,-2171,462,16042,333,425,2222,1,-86,1474,286,
12057,-2077,262,16078,467,265,1847,1,-84,1480,280,
12078,-2268,-331,15905,431,385,1990,1,-78,1474,278,
12098,-2667,-568,15759,172,809,2547,1,-81,1479,279,
12119,-2898,-495,15865,-46,1171,3341,1,-86,1484,282,
12139,-2817,-157,16184,123,1401,3928,1,-84,1480,288,
12159,-2551,447,16397,497,940,3794,1,-85,1483,285,
12180,-2155,441,16571,994,323,3219,1,-83,1471,287,
12200,-1741,370,16558,1510,-172,2647,1,-85,1479,283,
12220,-1440,380,16417,1857,-503,2086,1,-84,1482,276,
12241,-1208,292,16305,1856,-640,1622,1,-94,1482,276,
12261,-1056,16,16151,1480,-898,1359,1,-92,1476,284,
12281,-1124,-367,15783,616,-1137,1605,1,-91,1485,281,
12302,-1201,-465,15599,-628,-1057,2205,1,-96,1480,284,
12322,-1211,-505,15618,-1885,-821,2644,1,-84,1476,276,
12343,-1318,-420,15756,-2847,-502,2742,1,-88,1486,278,
12363,-1669,-372,16121,-3393,-165,2567,1,-90,1476,282,
12383,-2124,-377,16351,-3304,26,2399,1,-86,1480,280,
12403,-2510,-319,16479,-2881,-155,2513,1,-90,1478,276,
12424,-2865,-352,16537,-2485,-389,2762,1,-89,1477,277,
12444,-3118,-550,16370,-2091,-531,3210,1,-84,1470,270,
12465,-3215,-526,16277,-1746,-412,3722,1,-81,1479,279,
12485,-3248,-444,16118,-1301,-236,3997,1,-85,1485,283,
12505,-3240,-399,16036,-680,-199,3952,1,-84,1480,280,
12526,-3172,-319,16155,378,-149,3622,1,-91,1477,273,
12546,-2964,-291,16218,1683,-170,3144,1,-89,1483,271,
12566,-2650,-273,16194,2940,-127,2534,1,-88,1482,282,
12586,-2299,-376,16126,3787,-44,2073,1,-81,1483,273,
12607,-1937,-480,16056,4167,-18,1902,1,-97,1473,277,
12627,-1626,-563,16054,4051,61,2025,1,-99,1475,283,
12648,-1412,-484,16046,3656,144,2302,1,-104,1486,280,
12668,-1289,-361,15877,2943,32,2374,1,-96,1486,278,
12688,-1302,-389,15712,1806,-13,2152,1,-97,1485,279,
12709,-1371,-584,15666,637,-95,1911,1,-99,1481,279,
12729,-1482,-831,15769,-351,-166,1970,1,-99,1489,285,
12749,-1675,-999,15952,-1049,12,2417,1,-97,1485,281,
12770,-1849,-967,16181,-1530,323,3152,1,-104,1480,278,
12790,-1999,-723,16290,-1696,397,3821,1,-100,1486,276,
12811,-2014,-611,16353,-1469,299,4155,1,-97,1487,275,
12831,-2010,-570,16264,-930,195,4235,1,-100,1484,276,
12851,-2017,-669,16189,-345,229,4212,1,-107,1483,279,
12871,-1972,-632,16088,192,399,4280,1,-105,1481,285,
12892,-1851,-550,15952,502,502,4407,1,-114,1488,276,
12912,-1665,-429,15867,520,629,4500,1,-112,1486,272,
12933,-1612,-398,15864,429,772,4484,1,-107,1489,277,
12953,-1649,-290,15848,137,765,4321,1,-104,1492,280,
12973,-1530,-324,15907,-269,676,3945,1,-111,1491,271,
12994,-1475,-271,16033,-556,745,3446,1,-107,1489,279,
13014,-1495,-250,16068,-643,860,2780,1,-104,1486,268,
13034,-1447,-220,16114,-690,904,2130,1,-111,1487,275,
13055,-1378,-245,16100,-876,833,1655,1,-109,1489,281,
